name,wgs84lon,wgs84lat,bed,
湖北省中西医结合医院,114.26809058323883,30.610171502513257,680,
武汉广爱医院,114.25178273805506,30.63726686872652,200,
商职医院,114.28626500048631,30.570840404737275,500,
武汉市红十字会医院,114.2676811857643,30.616511298818235,500,
江汉中西医结合医院,114.28875389093106,30.576190823366428,60,
武汉市怡和医院,114.2419804928654,30.62477211042707,50,
武汉百姓医院,114.24260763095904,30.617014340806865,180,
华中科技大学同济医学院附属协和医院,114.26934112485189,30.58651459842465,4800,
民意医院,114.27317101811146,30.57722231527712,100,
湖北省中西医结合医院民航分院,114.23397951192486,30.63005902856216,50,
武汉中阳中医医院,114.25375125429508,30.61448268962378,200,
武汉市优抚医院,114.25524521181188,30.618509471949928,650,
武汉华茂医院,114.2383747973982,30.620782205988235,120,
武汉市中心医院,114.26013946159331,30.63085488010011,200,
